"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","243","Creating colored boards","tests","2026-07-08","failed","2026-07-08","","test_boards","",""
"","233","Creating new board","tests","2026-07-08","failed","2026-07-08","","test_boards","",""
"","125","Creating board with giant name","tests","2026-07-08","passed","2026-07-08","","test_negative","",""
"","0","Archiving cards","tests","2026-07-08","broken","2026-07-08","","test_boards","",""
"","225","Creating colored boards","tests","2026-07-08","failed","2026-07-08","","test_boards","",""
"","0","Deleting new board","tests","2026-07-08","broken","2026-07-08","","test_boards","",""
"","195","Creating colored boards","tests","2026-07-08","failed","2026-07-08","","test_boards","",""
"","0","Creating new list","tests","2026-07-08","broken","2026-07-08","","test_boards","",""
"","232","Creating board with pydantic validation","tests","2026-07-08","failed","2026-07-08","","test_boards","",""
"","169","Creating card in fake list","tests","2026-07-08","passed","2026-07-08","","test_negative","",""
"","0","Updating card","tests","2026-07-08","broken","2026-07-08","","test_boards","",""
"","0","E2E test","tests","2026-07-08","broken","2026-07-08","","test_boards","",""
"","0","Creating new card","tests","2026-07-08","broken","2026-07-08","","test_boards","",""
"","249","Creating board with invalid token","tests","2026-07-08","passed","2026-07-08","","test_negative","",""
"","0","Creating checklist and item","tests","2026-07-08","broken","2026-07-08","","test_boards","",""
